Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Lifecycle Cost,Schedule Variance (in days),Schedule Variance (%),Cost Variance ($ M),Cost Variance (%),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time,Unique Project ID
005-000001870,225,5,Department of Agriculture,Farm Program Modernization (MIDAS) #097,1676,,Initial Operating Capability (IOC) Deployment,"IOC Release 1 acquisition and detailed planning will occur in FY11 Q3-Q4. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).",01/07/2011,30/09/2012,,,119098.812,0,0,-3.119485,-2.62,119.099001,122.218486,28/02/2012,11:25:27,1
005-000001729,226,5,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684,,AGxEDCx,Improve FAS information technology (IT) infrastructure and security by restructuring and transitioning FAS information technology services to management by the Office of the Chief Information Officer (OCIO).,20/07/2011,19/07/2012,,,7.276,-92,-37.86,0,0,7.276,7.276,28/12/2011,09:29:28,1
005-000001729,226,5,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685,,O&M,Provide IT infrstrucutre and computing platform.,01/10/2011,30/09/2012,,,16.248,0,0,0,0,16.248,16.248,28/12/2011,09:29:28,2
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),1969,,FMMI Deployment 3,"Deployment of Marketing and Regulatory Programs (MRP), Natural Resources Conservation Service (NRCS).",01/10/2011,31/03/2012,31/03/2012,31/03/2012,8.942,0,0,-4.965862,-274.18,1.811138,6.777,30/06/2012,14:57:47,01/10/2327
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),2937,,FMMI Deployment 3 Wave 1,Deployment and Stablization of Natural Resources Conservation Service (NRCS).,02/04/2012,31/05/2012,31/05/2012,31/05/2012,1.602,0,0,-0.583,-36.41,1.601,2.184,01/08/2012,13:22:28,01/04/2327
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3221,,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",01/06/2012,31/12/2012,,,7.32,0,0,0,0,5.09,5.09,30/06/2012,14:57:46,01/06/2317
005-000001425,227,5,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3261,,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",01/06/2012,31/12/2012,31/08/2012,31/08/2012,7.32,0,0,0,0,5.09,5.09,01/08/2012,13:22:28,02/06/2317
005-000001718,228,5,Department of Agriculture,FNCS IT Infrastructure,1097,,FNCS IT Infrastructure Operations and Maintenance FY2012,FNCS IT Infrastructure Operations and Maintenance Activities for FY2012.,01/10/2011,30/09/2012,,,21.04546,0,0,-0.000035,0,21.04546,21.045495,01/08/2012,13:22:11,FNS1718OM
005-000001496,229,5,Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,1740,,FPA-P2 - Fire Program Analysis System - Phase 2,The purpose of the Fire Program Analysis system is to provide managers with acommon interagency process for strategic fire management planning and budgeting. It will beused to evaluate the effectiveness of alternative fire management strategies to support landmanagement goals and objectives.,01/01/2005,01/10/2020,31/03/2012,31/03/2012,71.42413,-153,-41.92,0,0,0.735925,0.735925,30/01/2012,11:12:16,1
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1939,,Desktop GSS,Desktop General Support Systems.,01/10/2006,30/09/2018,,,242.984,-62,-22.71,0,0,11.441,11.441,28/02/2012,11:27:27,PHDCIS-DSK
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1940,,Data Warehouse GSS,Data Warehouse General Support Systems.,01/10/2006,30/09/2018,,,242.985,0,0,0,0,11.441,11.441,28/02/2012,11:27:27,PHDCIS-DTW
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1941,,Enterprise GSS,Enterprise General Support Systems.,01/10/2006,30/09/2018,,,242.985,-62,-22.71,0,0,11.442,11.442,28/02/2012,11:27:27,PHDCIS-ENT
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1942,,FPS GSS,Financial Processing Center General Support System.,01/10/2006,30/09/2018,,,242.984,0,0,0,0,11.441,11.441,28/02/2012,11:27:27,PHDCIS-FPS
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1943,,HR GSS,Human Resources General Support Systems.,01/10/2006,30/09/2018,,,242.984,0,0,0,0,11.441,11.441,28/02/2012,11:27:27,PHDCIS-HR
005-000000083,230,5,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1944,,Network GSS,Network General Support Systems.,01/10/2006,30/09/2018,,,242.985,0,0,0,0,5.656,5.656,28/02/2012,11:27:28,PHDCIS-NWK
005-000002148,231,5,Department of Agriculture,FSIS Public Health Information Consolidation Projects (PHICP),1746,,Public Health Information System,"Designed to integrate data from all agency systems and program areas for use as a tool in making the most informed decisions about inspection, sampling, policy and other food safety activities to protect public health.",27/09/2007,30/12/2018,21/09/2012,21/09/2012,141.478,0,0,0,0,0.00225,0.00225,28/02/2012,11:24:53,PHICP-PHIS
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1769,,WebTA,DME WebTA.,01/06/2011,29/02/2012,29/02/2012,29/02/2012,16.374,-184,-67.4,6.489,39.63,16.374,9.885,28/02/2012,14:17:14,1
005-999991841,234,5,Department of Agriculture,Human Resources Line of Business:  Service Center,1770,,EmpowHR Migration,EmpowHR Migration.,01/06/2011,29/02/2012,29/02/2012,29/02/2012,1071.255,-184,-67.4,688.454,64.27,1071.255,382.801,28/02/2012,14:17:14,2
005-000002328,235,5,Department of Agriculture,IBS - Incident Business System,1767,,Provision of O&M Services,Provides services required to meet objectives of investment.,01/10/2011,30/09/2012,,,2.7036,0,0,0,0,2.7036,2.7036,23/09/2011,18:22:03,1
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1099,,eAuthentication,This project will adopt and implement a Single Sign On (SSO) user access management using Oracle Enterprise Single Sign On Suite and PRISM SSO enhancement. This will provide users with a unified sign on and authentication across all IAS enterprise resources.,14/02/2011,30/12/2011,30/12/2011,17/05/2012,0.7,-139,-75.96,0,0,0.7,0.7,30/06/2012,14:58:03,2
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1101,,FMMI Conversion,The FMMI Conversion project will transfer agencies currently interfacing to the old FFIS financial accounting system to the new enterprise-wide FMMI financial system.,15/08/2011,30/12/2011,30/12/2011,31/10/2012,0.15,-306,-223.36,0,0,0.15,0.15,28/02/2012,14:31:34,4
005-000000039,236,5,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102,,Oracle Discoverer,Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.,03/10/2011,30/03/2012,30/03/2012,21/05/2012,0.35,-52,-29.05,0,0,0.35,0.35,30/06/2012,14:58:03,5
005-000000047,237,5,Department of Agriculture,Integrated Program Accounting System (IPAS),1104,,IPAS Operations and Maintenance FY2012,IPAS Operations and Maintenance Activities for FY2012.,01/10/2011,30/09/2012,,,8.210163,0,0,-0.000009,0,8.210163,8.210172,01/08/2012,13:23:00,FNS47OM12
005-000002152,238,5,Department of Agriculture,NASS Survey Processing System,1105,,Survey Processing Systems operations.,Maintaining the steady state system used to generate approximately 500 reports annually. There are no projects spanning fiscal years and the investment will be sunset in BY-13.,30/09/2004,30/09/2013,,,65.733,0,0,0,0,3.412,3.412,01/08/2012,13:23:05,NASSSurvey
005-000001659,239,6,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672,,FISMA Compliance FY12.,"Anything related to FISMA compliance: C&A, POA&M.",01/09/2011,30/09/2012,31/03/2012,01/09/2012,0.03,-154,-84.62,0,0,0.03,0.03,28/02/2012,11:22:25,ADT9010001
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673,,FTE Support FY12.,FTE IT application support activities.,07/02/2011,30/09/2012,31/03/2012,31/03/2012,0.7,-153,-36.96,0,0,0.7,0.7,28/02/2012,11:22:25,ADT9010002
005-000001659,239,5,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674,,Acquisition Support FY12.,"Acquisition activities that incudes help desk, but not security.",01/09/2011,30/09/2012,30/09/2012,30/09/2012,1.017,0,0,0,0,1.017,1.017,31/05/2012,14:20:14,ADT9010003
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1106,,NRM Customer Relations Operations,"This represents the Major Customer Relations Operations that the NRM Staff carry out on an annual basis in support of the NRM Vision and annual program of work including: Account Management, Change Management, Help Desk Operations, Communications, Training, and Leadership activities.",01/10/2011,30/09/2012,,,4.885,0,0,0,0,4.884,4.884,30/11/2011,06:10:30,2223-CRO
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1107,,NRM Data Center Operations,This represents the major Data Center Operations that the NRM staff carry out on an annual basis in support of the NRM business applications and the NRM Steering Commitee approved annual program of work including: Architectural Direction; Data Center Operations (systems & database); Security Operations; Program Management Support; and Leadership Activities.,01/10/2011,30/09/2012,,,7.02,0,0,0,0,7.018,7.018,30/11/2011,06:10:30,2223-DCO
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1108,,"NRM Release 5.7 (February, 2012)",NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/10/2011,29/02/2012,29/02/2012,29/02/2012,6.958,-184,-121.85,0,0,6.958,6.958,30/04/2012,11:15:04,2223-R57
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1109,,"NRM Release 5.8 (May, 2012)",NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/03/2012,31/05/2012,31/05/2012,31/05/2012,4.175,-92,-101.1,0,0,4.175,4.175,30/04/2012,11:15:04,2223-R58
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1110,,"NRM Release 5.9 (August, 2012)",NRM Maintenace Release 5.9. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/06/2012,31/08/2012,,,4.175,0,0,0,0,4.175,4.175,22/09/2011,14:32:48,2223-R59
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1111,,NRM Release 6.0 (September 2012),Minor NRM Release to address FY2012 Year End Reporting.,01/09/2012,30/09/2012,,,1.392,0,0,0,0,1.391,1.391,22/09/2011,14:32:49,2223-R60
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1112,,FY2011 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.,01/10/2011,31/12/2011,31/12/2011,29/02/2012,0.2,-244,-268.13,0,0,0.2,0.2,30/03/2012,07:09:11,2223-YE11
005-000002223,242,5,Department of Agriculture,NRM - Natural Resource Manager,1113,,FY2012 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's performance measures to the USFS Performance Accountability System (PAS). Initiate next year's Performance measures to PAS.,01/08/2012,31/12/2012,,,0.4,0,0,0,0,0.3,0.3,22/09/2011,14:32:49,2223-YE12
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1686,,Data Centers - Agency Availability and DR Capacity Buildout: Planning,"Building up Infrastructure such as network, storage network, backup and core systems (DNS, Active Directory, etc.) to support applications coming into the environment.",15/06/2012,14/12/2012,,,0.540347,0,0,0,0,0.540347,0.540347,30/01/2012,11:12:21,OCE-DC-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1687,,Data Centers - Web Farm Hardware Refresh: Planning,"This project replaces Web Farm (and other centralized) hardware based on a regular and ongoing (i.e., predetermined) lifecycle.",15/06/2012,14/12/2012,,,0.835822,0,0,0,0,0.835822,0.835822,30/01/2012,11:12:21,OCE-DC-03
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1688,,Data Centers - Web Farm Hardware Refresh: Acquisition Phase 1,"This project replaces Web Farm (and other centralized) hardware based on a regular and ongoing (i.e., predetermined) lifecycle.",01/08/2012,31/01/2013,,,2.163072,0,0,0,0,2.163072,2.163072,30/01/2012,11:12:21,OCE-DC-04
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1689,,Enterprise Management - Network Capacity and Performance Monitoring: Acquisition,"This project builds upon existing infrastructure to be better able to monitor, store, and analyze network activity and traffic in order to more efficiently troubleshoot and better forecast capacity thresholds.",01/08/2012,30/11/2012,,,0.108154,0,0,0,0,0.108154,0.108154,30/01/2012,11:12:21,OCE-EM-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1690,,Enterprise Management - NOC: Planning,"The purpose of this project will be to improve current monitoring, change, and configuration management capabilities within IT enterprise systems. These systems include CCE, Web Farm 2 & 3, and the Enterprise Collaboration Systems. The deployment of these System Center Tools will provide End-to-End Service Management for the Enterprise Tier in the form of Server (Windows & Non-Windows) management and Application Management.",01/08/2012,31/01/2013,,,0.689479,0,0,0,0,0.689479,0.689479,30/01/2012,11:12:21,OCE-EM-03
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1691,,Enterprise Management - ITSM: Acquisition - Phase 1,"An ITSM tool is imperative to being an efficient IT service provider. Following the ITIL fundamentals, an ITSM tool primarily serves as the Help Desk, with links into Incident and Problem Management processes.",01/08/2012,31/01/2013,,,1.622304,0,0,0,0,1.622304,1.622304,30/01/2012,11:12:21,OCE-EM-09
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1692,,Enterprise Management - Perimeter Security: Planning,This project will deploy Intrusion Prevention Devices at the SCA Gateway to allow ITS to control known attacks and detect ongoing security threats.,15/06/2012,14/12/2012,,,0.627291,0,0,0,0,0.627291,0.627291,30/01/2012,11:12:21,OCE-EM-12
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1693,,Enterprise Management - Perimeter Security: Acquisition,Functional Description: This project will deploy Intrusion Prevention Devices at the SCA Gateway to allow ITS to control known attacks and detect ongoing security threats. The SCA Gateway is the location between the USDA backbone and the SCA Backbone.,15/08/2012,31/01/2013,,,1.232951,0,0,0,0,1.232951,1.232951,30/01/2012,11:12:21,OCE-EM-13
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1694,,Enterprise Management - Network Access Control: Planning,"Currently, there are no logical access controls to prevent any unauthorized person or infected machine from connecting to the SCA network. This project addresses this security weaknesses within the ITS field service centers and large offices.",15/08/2012,31/01/2013,,,0.541523,0,0,0,0,0.541523,0.541523,30/01/2012,11:12:21,OCE-EM-14
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1695,,End User Devices - Thin Client: Planning,"Thin Client computing is a server-centric computing model in which the application software, data, and CPU power resides in network servers rather that on client computers. This computing model has several advantages such as improved security, lower support at the local site, and a longer useful life for the client devices.  This project shifts 6,000 users from traditional desktop PCs to thin client computing devices connected to centralized computing resources.",01/08/2012,31/01/2013,,,1.39304,0,0,0,0,1.39304,1.39304,30/01/2012,11:12:21,OCE-EU-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1696,,End User Devices - Enterprise User Mobility: Planning,"Mobility support to include wireless and mobility endpoint (Windows mobile, Blackberry, etc.).",15/06/2012,14/12/2012,,,0.182509,0,0,0,0,0.182509,0.182509,30/01/2012,11:12:21,OCE-EU-05
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1697,,End User Devices - End User Workstation Refresh: Acquisition - Phase 1,"Replacing the Service Center Agency desktops, laptops, and tablets based on a lifecycle management strategy and regular refresh cycle.",15/06/2012,30/11/2012,,,3.244608,0,0,0,0,3.244608,3.244608,30/01/2012,11:12:21,OCE-EU-07
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1698,,Office Environment - Network Acceleration: Planning,This project will deploy network acceleration devices to the field offices in order to address the escalating need for additional network bandwidth as more services are delivered over the network.,15/06/2012,14/09/2012,,,0.144069,0,0,0,0,0.144069,0.144069,30/01/2012,11:12:21,OCE-OF-01
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1699,,Office Environment - Network Acceleration: Acquisition - Phase 1,This project will deploy network acceleration devices to the field offices in order to address the escalating need for additional network bandwidth as more services are delivered over the network.,01/08/2012,31/01/2013,,,6.489216,0,0,0,0,6.489216,6.489216,30/01/2012,11:12:21,OCE-OF-02
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1700,,Office Environment - File Service Centralization (Current Capacity): Planning,Replace the aging Service Center Agency file and print servers with a centralized storage infrastructure taking advantage of network acceleration technologies.,15/06/2012,14/12/2012,,,0.115711,0,0,0,0,0.115711,0.115711,30/01/2012,11:12:21,OCE-OF-04
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1701,,Office Environment - File Service Centralization (Current Capacity): Acquisition - Phase 1,Replace the aging Service Center Agency file and print servers with a centralized storage infrastructure taking advantage of network acceleration technologies.,01/08/2012,31/01/2013,,,0.540768,0,0,0,0,0.540768,0.540768,30/01/2012,11:12:22,OCE-OF-05
005-000002321,243,5,Department of Agriculture,Optimized Computing Environment (OCE),1702,,Office Environment - Domain Controller Backup: Planning,This project will deploy an enterprise disk to disk backup solution across the WAN for field offices that will still retain local servers.,15/06/2012,14/12/2012,,,0.047588,0,0,0,0,0.047588,0.047588,30/01/2012,11:12:21,OCE-OF-08
