Title,Event / Type,Tags,URL,Description,Upload Date,Type
ODI Summit 2021: Data in: 100 different visualisations out,ODI Summit 2021,"data,data visualisation,dataviz,data viz",https://www.youtube.com/watch?v=OV_MNM6R91A,"In this taster training session from ODI Summit 2021, ODI trainer Lucy Knight gives an introduction to the science of visualising data and conveying a message, and how these concepts can equally be applied to inform or to obfuscate.

By the end of this session you will be able to:
- Recognise the relationship between data structure, message and chart type
- Describe the challenges created by poor visualisation choices
- Identify inappropriate or misleading visualisations and the possible reasons behind them

If you want to find out more about how to tell powerful stories from data, as well as the steps that lead up to this, book your place for Strategic Data Skills course starting in February 2022: https://theodi.org/event_series/new-strategic-data-skills-course/

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",21/12/2021,Video
ODI Fridays: Finding new ways to share digital art,ODI Fridays,,https://www.youtube.com/watch?v=5r4sCYk_AfI,"In this talk, Mateus Domingos will be discussing the Careful Networks project with three of the participating artists: Larisa Blazic, Ailie Rutherford and Shinji Toya.

Careful Networks is a project initiated by Phoenix in partnership with BOM, Furtherfield, The Photographers’ Gallery, QUAD and Vivid Projects.

The temporary P2P network is home to a series of newly commissioned artworks. Each work was initially hosted by another artist. The network exists through a collaborative act of care and stewardship. Visitors are also invited to participate in this. Each of the works has been created within the constraints of a 2mb file size and without external dependencies.

About the speakers
Mateus Domingos is an artist/writer based in Leicester, UK. In parallel with his artistic practice, he is a producer for the digital arts programme at Phoenix, Leicester. Alongside the exhibition programme he works on artist development opportunities and hosts a series of meet-ups exploring digital arts practices. He regularly publishes and facilitates workshops that explore creative coding and various digital technologies. He is interested in text, narrative and the use of new digital spaces. His work has included games, 3d printing, fictional alphabets, maps and filmmaking. He runs a publishing project called Bruise.

Larisa Blazic is a London-based digital artisan, educator and feminist hacker with practice ranging from net.art to Free/Libre/Open Source Software (FLOSS) art and design. She explores a range of emerging technologies and their impact on online publishing, moving image in public space, collective creativity and participation through work exhibited nationally, internationally and online. The philosophy driving her art practice is founded on FLOSS philosophy and culture aiming to enable a deep, systematic and critical understanding of the technical, social and cultural contexts where creative practice and technology intersect in order to apply these in contemporary art and design.

Ailie Rutherford is a visual artist working at the intersection of community activism and creative practice. Her collaborative artworks bring people together in conversations about our social and economic landscape using print, performance, sci-fi visioning, games and technology as playful means to work through difficult questions and radically re-think our shared futures. Resulting works range from proposed new models for living and working together to the building of new infrastructure.

Shinji Toya is a digital artist from Japan, based in London in the UK for more than a decade. His practice uses creative programming, artificial intelligence, the Internet, participation, video, image manipulation and painting. It deals with the poetic aspects emerging in the tension between what the systems of knowledge and computation aim to capture and what they fail to capture. The recent practice of Toya critically explores the relationship between image, data, and generative processes emerging through networked participation and digital culture(s). This practice often deals with the post-digital data economy and data erasure.",18/12/2021,Video
"ODI Summit 2021: The machines are learning, but who are their teachers?",ODI Summit 2021,"data,ai,art,Data as Culture,algorithm,algorithmic bias",https://www.youtube.com/watch?v=erVGxRA5js0,"fairlyintelligent.tech is a speculative fiction about the world’s worst algorithm posing as the world’s best algorithm. It invites us to take on the role of an auditor, tasked with addressing the biases in a speculative AI. Through a series of witty and biting questions, we are confronted with the reality that – despite its influence on our lives – AI is broken at a fundamental level. The machines are learning, it argues, but who are their teachers?

In this roundtable, Emma Thwaites (Director of Communication and Marketing, ODI) speaks with A.M. Darke (artist and creator of fairlyintelligent.tech) and Antonio Roberts (curator of Rules of Engagement ODI online exhibition featuring fairlyintelligent.tech).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",17/12/2021,Video
ODI Summit 2021: Dr Samira Asma on Improving Health and Saving Lives,ODI Summit 2021,"data,ai,health,WHO,World Health Organisation,World Health Organization,Covid-19,Covid,Pandemic,Covid data,ODI Summit",https://www.youtube.com/watch?v=fmdEDTKojO4,"Dr Samira Asma (Assistant Director-General, Data, Analytics and Delivery for Impact, WHO) speaks on 'Improving health and saving lives: is data the lifeblood of public health? Building capacity and creating policy change'.

This is a keynote from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",17/12/2021,Video
"ODI Summit 2021: It ain’t what you do, it’s the way that you do it!",ODI Summit 2021,"data,assurance,trust,data assurance,governance",https://www.youtube.com/watch?v=PhbWU6zwQrQ,"To create a world where data works for everyone, we need trustworthy data to flow in well-governed ways around the data ecosystem.

When data and organisations in the data ecosystem are trusted and trustworthy, we see an increase in data flow, leading to increases in value created in the form of products, services, analyses and insights created from the data, and better decisions by governments, organisations, people and communities, informed by data.

What are the best ways for organisations to instil good data practice to assure those accessing, using and sharing the data that they can trust it? Hear from three perspectives; health, agriculture and defence.

Ed Evans (Senior Consultant, ODI) speaks with panelists Susanne Erkens-Reck (Roche Austria General Manager), Caroline Bellamy (Director Chief Data Officer, Ministry of Defence) and Christian Witt (Senior Program Officer in the Agricultural Development team, Bill & Melinda Gates Foundation).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",17/12/2021,Video
ODI Summit 2021: The data may save us: Are humans alone able to tackle climate change?,ODI Summit 2021,"data,climate,climate change,climate crisis,climate action,net zero",https://www.youtube.com/watch?v=R3r17qkvXSk,"We need a combination of action at all levels in all domains to address the climate crisis. We need data to make informed decisions and data collaboration to tackle things at scale.

Our panelists are working on complex problems, in different systems, all connected to climate action. They understand that change needs to happen at the system level, and that collaboration between those systems is also needed to drive things forward.

Linet Kwamboka (Africa Program Manager, Global Partnership for Sustainable Development Data) discusses collaboration to tackle climate change with Nicolas Miailhe (Founder and President, The Future Society), Païvi Luoma (Gaia Consulting, Finland) and Gea Mikic (Co-Founder and Programme Manager, Icebreaker One)

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",17/12/2021,Video
ODI Summit 2021: People on the Covid front line: How data shaped experiences of the pandemic,ODI Summit 2021,"data,ai,covid,covid-19,pandemic response,health data,covid data,ODI Summit",https://www.youtube.com/watch?v=yxY-cgTl47s,"How are people at the global Covid-19 front line using data?

Professor Louise Rose (Professor of Critical Care Nursing, Kings College London) talks with Edouard Mathieu (Head of Data, Our World in Data Paris) and Dr Sandra Husbands (Director of Public Health, City of London and London Borough of Hackney).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",17/12/2021,Video
ODI Summit 2021: Dr Chanda Prescod-Weinstein on The Future Of Dark Matter,ODI Summit 2021,"data,dark matter,Chanda Prescod-Weinstein,astrophysics,intersectionality,ODI Summit 2021",https://www.youtube.com/watch?v=0oXur6Aj_EY,"Dr Chanda Prescod-Weinstein (Assistant Professor of Physics and Astronomy, Core Faculty in Women’s and Gender Studies, University of New Hampshire) shares her perspective on the future of dark matter.

This is a keynote from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",14/12/2021,Video
ODI Summit 2021: Will data ethics ever be part of an organisation’s DNA?,ODI Summit 2021,"data,ethics,data ethics,ODI Summit,ODI Summit 2021",https://www.youtube.com/watch?v=d9xfRN8Jq7Y,"Principles and frameworks have been designed to help organisations create responsible and ethical technologies and data practices. And while these are well-received by organisations, evidence suggests that the majority of organisations have not moved beyond this initial stage of their ethics journey.

Data ethics is now established as being important. But how do we put this into practice?

Lisa Allen (Head of Consultancy for Data Programmes) is joined by Sam Brown (Co-Founder and Business and Responsible Innovation Coach, Consequential), Jen Rodvold (Head of Digital Ethics & Tech for Good, Sopra Steria), Linda Briceno (Head of Data Privacy, Ethics & Records Management, Lloyds Bank) and Dr Rob Elliot Smith (Head of Technology for AI and ML, Digital Catapult).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",14/12/2021,Video
ODI Summit 2021: The Data Game,ODI Summit 2021,"data,gameshow,data gameshow,ODI Summit 2021,Open Data Institute,Gavin Freeguard",https://www.youtube.com/watch?v=bj71jJ-Vp_I,"How well do you know data? In this session from ODI Summit 2021, Gavin Freeguard (ODI Special Adviser and data singer-songwriter) quizzes data experts Bilal Matteen (Wellcome Trust) and Dr Claire Melamed (CEO, Global Partnership for Sustainable Development Data)

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",14/12/2021,Video
ODI Fridays: How the BBC builds public service recommenders with data,ODI Fridays,,https://www.youtube.com/watch?v=_C4nKEsI-QQ,"The BBC is one of the world’s leading broadcasters, producing a large amount of content including video, audio and text, spanning topics such as news, sport, education, and entertainment. In order to fulfil its public service remit, the BBC must serve all its audiences, providing each audience member with the most relevant and engaging content for them.

Up to now, manual curation has been the main approach used by the organisation to achieve that. However, that comes with some challenges: it is unable to scale and to be tailored to each user. Datalab has followed an approach based on cross-team collaboration and on the concept of public service AI to address these challenges. In his talk, Alessandro reflects upon this approach and the lessons learnt in the years since the creation of Datalab.

About the speaker
Alessandro Piscopo is a principal data scientist at the BBC, in a team called Datalab. He works on the development and deployment of public service recommendations algorithms across the organisation, to help BBC audiences find the most relevant and engaging content. During his PhD, obtained in 2019 at the University of Southampton, Alessandro studied the effects of socio-technical dynamics on data quality in collaborative knowledge engineering projects.

His current interests include online collaboration, knowledge graphs, and fairness and ethics in AI.",10/12/2021,Video
ODI Summit 2021: Empowering people to steward data about themselves,ODI Summit 2021,"data,ai,ODI Summit 2021,data institutions,data stewardship",https://www.youtube.com/watch?v=-XYbOi3iazw,"At the Open Data Institute (ODI), we've been exploring 'bottom-up' data stewardship, where individuals are empowered to steward data about themselves.

Why are these approaches so important? What issues do they address? Where are we in terms of their progress? And what is the future of these approaches?

Jack Hardinges (Programme Lead – Data Institutions, ODI) talks to Christina J. Colclough,  (Founder, The Why Not Lab), Jess Montgomery (Director of The Data Trusts Initiative, University of Cambridge) and Kai Kuikkaniemi (My Data Global)

For more on the ODI's data institutions programme, please visit: https://theodi.org/project/rd-data-institutions/

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",7/12/2021,Video
ODI Summit 2021: Our world transformed: Who’s looking after the data?,ODI Summit 2021,"data,Open Data Institute,ODI,ODI Summit 2021,data governance",https://www.youtube.com/watch?v=DNRnsVYQ3RE,"The public understanding of the role of data has changed significantly in the past two years. Never before have citizens had as much visibility of the role that data plays in their lives, and organisations are profoundly aware of the  huge responsibilities that come with managing all types of data.

How do we enable organisations – from private sector businesses to governments and civil society bodies – to understand their responsibilities for governing data well, mobilising data flows and optimising utility in crises and ‘peacetime’?

In this session, Lisa Allen (Head of Consultancy for Data Programmes, ODI) talks with Danil Mikhailov (Executive Director, data.org), Teresa Graham (Head of Global Product Strategy, Roche) and Dipak Kalra (President at The European Institute for Innovation through Health Data).

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",7/12/2021,Video
ODI Summit 2021: Towards COP26 – how can data people get the planet to net zero?,ODI Summit 2021,"data,ai,climate change,climate,COP26,ODI,ODISummit,ODI Summit",https://www.youtube.com/watch?v=pZx41s-Pjv0,"In this session coinciding with the start of COP26, Volker Buscher (Chief Data Officer, Arup) asks Gavin Starks (CEO, Icebreaker One), Amali de Alwis (CEO, Subak) and Roelof Opperman (Partner, Fifth Wall) to discuss his assertion that all industry sectors will need to radically change the way they work with data if we are to meet the environmental challenges ahead.

For more on our work to better understand what the built-environment can do to tackle the climate crisis with data, visit here: https://theodi.org/article/call-for-collaboration-tackling-the-climate-crisis-with-data/

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit",3/12/2021,Video
ODI Summit 2021: ODI Learning: Introducing the online data ethics canvas,ODI Summit 2021,,https://www.youtube.com/watch?v=BFtw_YtkISE,"The Data Ethics Canvas is designed for anyone who collects, shares and uses data. It helps organisations address fundamental questions about projects that use data.

In this workshop, Dr Dave Tarrant (Programme Lead – Data Literacy, ODI) and James Maddison (Senior Consultant, ODI) give an introduction to one of the ODI’s most widely used tools.

You can book your own online Data Ethics Canvas workshop here: https://theodi.org/service/consultancy/workshop-applying-the-interactive-data-ethics-canvas/

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit/",1/12/2021,Video
ODI Canalside Chats: Big questions for big tech,Canalside chats,"data,ai,misinformation,online harms,big tech,bigtech,DCMS,ODI",https://www.youtube.com/watch?v=HsJ34HNs1Eo,"Big questions for big tech

Susannah Storey (Director General for Digital and Media Policy in the Department for Digital, Culture, Media and Sport) and Dr Mahlet Zimeta (Head of Public Policy at the ODI) discuss the issues around the rise in big tech (from misinformation to online harms) and the ways in which policymakers are responding to those challenges.

The ODI Canalside Chats series brings together leading thinkers to discuss important data topics. To join us at future ODI Canalside Chats, visit: https://theodi.org/event_series/odi-canalside-chats/",30/11/2021,Video
ODI Summit 2021: Leaders in data – from surviving to thriving,ODI Summit 2021,"data,ODI,ODI Summit,C-suite,data leaders,data literacy,boardroom",https://www.youtube.com/watch?v=GW1fgr-OoI0,"At the ODI we steer and aim to influence leaders to think of data as critical infrastructure – and on balance sheets infrastructure is treated as an asset. But what of the business leaders steering these companies? Do they get data and do they really see it this way? Are they data literate?

In this panel discussion Stuart Coleman (Director of Learning and Business Development, ODI) asks Edwina Dunn OBE (Chair, Centre for Data Ethics and Innovation; Chair, Geospatial Commission) and Paul Wilmott (Chair, UK Government Central Digital & Data Office) about businesses that aren't able to invest in a Chief Digital or a Chief Data Officer. What does/should data literacy in the boardroom mean and how can it enable a business to thrive – not just survive?

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit/",29/11/2021,Video
ODI Summit 2021: Mind the data gap – how do we make everyone data people?,ODI Summit 2021,"data,ai,ODI,ODI Summit,data culture,data literacy",https://www.youtube.com/watch?v=ip4gyMRmals,"Data is everywhere and we all need to be data people, but is there a gap between those who understand data and those who don't?

Jennifer Pougnet (Data Policy Strategy Leader, Roche) asks panelists Dr. Charles Alessi (Chief Clinical Officer, HIMSS), Birgit Bauer (Digital Health & Social Media & Patient Expert, Manufaktur für Antworten) and Eric Sutherland, (Public Health Agency of Canada) to consider whether the so-called data gap is a problem. She also asks them how we embed a 'data culture' in an organisation and communicate that to non-technical data people?

This is a roundtable from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-s...",29/11/2021,Video
"ODI Fridays: Data, art and living systems",ODI Fridays,,https://www.youtube.com/watch?v=1UO8giGuBYs,"In this talk, ODI Artist in Residence Rohini Devasher and artist/ODI Art Associate Julie Freeman discuss using technology and data to strengthen our connection to the natural world and our understanding of climate change challenges.

(This talk was originally presented at the V&A Digital Design Weekend)

About the speakers
Rohini Devasher’s current research brings together her interest in early scientific observational instruments and contemporary observational sciences, specifically astronomy and atmospheric sciences, to study the twin aspects of the Earth’s skies: its celestial constants on one hand and the mutable objects of the atmosphere on the other.

Through her practice, Julie Freeman translates complex processes and data from natural sources into kinetic sculptures, physical objects, images, sound compositions, animations, VR & AR, questioning the use of data and digital technology in how we translate nature.",26/11/2021,Video
MediaFutures – tackling misinformation and disinformation through art and innovation,,"data,ai,startups,innovation,misinformation,disinformation,artists,Media Futures,MediaFutures",https://www.youtube.com/watch?v=wscga6Abjdk,"Applications for MediaFutures' second open call open on 25 November 2021. For more information, visit the MediaFutures website: https://mediafutures.eu/open-call/

This short film was first premiered at ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit/",25/11/2021,Video
ODI Summit 2021: In data we trust? Building confidence in new uses of data and AI,ODI Summit 2021,"data,ai,data_assurance,trust,ODI,ODI Summit,Open Data Institute",https://www.youtube.com/watch?v=V1CYTLpyJso,"What are the conditions for trust in the use of data for AI systems? What data is needed for there to be more trust in these systems? And what frameworks can be put in place for people, business and wider society to feel confident about new uses of dat?

Dr Mahlet (Milly) Zimeta (Head of Public Policy, ODI) talks to Felicity Burch (Executive Director, Centre for Data Ethics and Innovation) about data assurance and AI.

This is a session from ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit/",24/11/2021,Video
The role of data in unlocking the potential of social prescribing,,"social prescribing,health,ODI,ODI Summit,healthcare,health data,NHS",https://www.youtube.com/watch?v=t7nF5-Q2ErU,"The ODI's new report highlights the importance of data to those working in social prescribing. GPs, link workers, charities and other health and wellbeing practitioners could more effectively target issues such as mental health and improve provision of non-clinical interventions, from physical activity to assistance with social or welfare problems with improved data availability.

You can read the report here: https://theodi.org/article/the-role-of-data-in-unlocking-the-potential-of-social-prescribing-report/

This short film was first premiered at ODI Summit 2021. The ODI Summit is the Open Data Institute's annual flagship event, but they also run courses, talks and research throughout the year. Find out more about ODI Summit here: https://theodi.org/event_series/odi-summit/",16/11/2021,Video
ODI Fridays: Data and dealing with the building safety crisis,ODI Fridays,,https://www.youtube.com/watch?v=nNznnmUCoaM,"After the Grenfell tragedy the government hoped it would be able to address safety issues in other buildings within a year. Now more than four and a half years on, the cladding crisis has turned into a building safety crisis which now impacts hundreds of thousands of homes across the country.

Martin Boyd and Sebastian O’Kelly from the charity Leasehold Knowledge Partnership will discuss:

‘Years of systemic failings in building standards are now exposed. People are unable to afford to remediate the homes they thought were safe, People are unable to move homes. People are unable to sell their homes and people are trapped in buildings they are told are potentially unsafe.’

The talk looks at the role that use of data may have played in the buildup to this crisis and how the continuing lack of data limited the solutions the government is able to consider. It also asks if some decisions are being made without any supporting data.

About the speakers
A talk by Martin Boyd and Sebastian O’Kelly of the charity the Leasehold Knowledge Partnership.",12/11/2021,Video
